#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
16,CBCDrama @UC3Dci3BzZXDo4jw4dU8KqWg,5.5M,-,Egypt,,1.6M,CBCDrama,5800000,3021537151,17938
17,El Sobky Productions - السبكي @UCSVSS5aSyHh7ChJlICx_Gkg,5.5M,-,Egypt,,1.6M,El Sobky production السبكي للإنتاج الفني,7400000,4824661375,1393
18,Mustafa Hosny @UCwttCEi9Fq1DgTd5Anil6rQ,5.3M,-,Egypt,,1.6M,Mustafa Hosny,6810000,801823359,9838
19,Hekal Twins | هيكل توينز @UCsmb0-elPWzqrJLAZBe7ozA,5.3M,0.10%,Egypt,,1.6M,Hekal Twins | هيكل توينز,5680000,942440788,416
20,Mahmoud elgamal-محمود الجمل @UC_1EWggPRa5TEhlUWbnMK5Q,5.2M,0.20%,Egypt,,1.6M,Mahmoud elgamal-محمود الجمل,9330000,6842996375,2648
21,Gege recipes @UC38mz7oEvdEarBwIDD_14wg,5.2M,-,Egypt,,1.6M,وصفات مع جيجي كل حياتي,5220000,495600854,2251
22,Mahmoud Mustafa - Soft Fun @UCWpKAO7_kr2EI4371uModog,4.7M,0.10%,Egypt,,1.4M,Mahmoud Mustafa,5030000,383959948,404
23,Islam Sobhi | القارئ اسلام صبحي @UCzU3jMTL1mFb3Ql9g-pRn9A,4.6M,-,Egypt,,1.4M,القارىء إسلام صبحي Islam Sobhi,7060000,691143137,330
24,Mona Elshazly @UCrNtUy4sBJ2rGB4QS4FmgRA,4.6M,-,Egypt,,1.4M,Mona Elshazly,5590000,2309873353,18930
25,Sherine @UC4FPEho0zT1W9gftBydPWIw,4.6M,-,Egypt,,1.4M,Sherine,5660000,2076966588,35
26,ندي و احمد @UCyVxCVQmbc3-zqqESxFrTdQ,4.5M,0.80%,Egypt,,1.4M,ندي و احمد,10500000,7312233269,2459
27,عشوائيات @UCe1m3ZH68Q8314yqulWHTcw,4.5M,-,Egypt,,1.3M,عشوائيات,5070000,164731509,520
28,Naser - Hekaia @UCNKSVW2l2A-6ogoCrpP8XCQ,4.4M,-,Egypt,,1.3M,Naser - Hekaia,6000000,466673115,874
29,حرف إبداعية تصنعها بنفسك في 5 دقائق @UCZLnLW_Jn3ZT3NnGL6B_Vuw,4.3M,-,Egypt,,1.3M,حرف إبداعية تصنعها بنفسك في 5 دقائق,5940000,1884689068,5542
30,Nader Ahmed @naderahmed,4.2M,0.10%,Egypt,,1.3M,El Adl Group,4910000,2964006681,13000
31,EL Adl Group - العدل جروب @UCk554VGjGrZsLBUPW11cC7A,4.2M,-,Egypt,,1.3M,Alhayah series TV,4250000,2419461892,7339
32,Alhayah Series TV @UCfM85hxqqKrgGHgFDwcwOpg,4.2M,-,Egypt,,1.2M,قناة شعبيات / Sha3beyat Official,4270000,1698829488,6840
33,Shaabeyat Channel @UCyBHmgAlGGlz_jYtjbcEbPg,4M,-,Egypt,,1.2M,123 GO! GOLD Arabic,4550000,2471996424,1473
34,123 GO! GOLD Arabic @UC0m7f6JrzV1HhvgH22MVEjQ,4M,-,Egypt,,1.2M,CBC Egypt,4450000,1908236440,104610
35,CBC Egypt @UCB6sc84dcg6VQGB_d89sx2g,3.9M,-,Egypt,,1.2M,القاهرة والناس,4320000,1459512211,118956
36,القاهرة والناس @UCzWdc0aUo0IDk5ysLrt04hw,3.9M,-,Egypt,,1.2M,القناة الرسمية للإعلامي معتز مطر,4740000,1224723002,4746
37,القناة الرسمية للإعلامي معتز مطر @UCum7DSqLYPc23jsyds-X97Q,3.8M,0.10%,Egypt,,1.2M,الهلالي شو - Elhilaly Show,4410000,414340788,1786
38,الهلالي شو - Elhilaly Show @UCI-uBN2_AJ8W3bgtiuUr7Iw,3.7M,-,Egypt,,1.1M,123 GO! CHALLENGE Arabic,3730000,1568687312,838
39,123 GO! CHALLENGE Arabic @UCLhyocD0AAid1XiiOggv3_Q,3.7M,-,Egypt,,1.1M,هبة ابو الخير Heba Abo Elkheir,4570000,548125938,514
40,هبة ابو الخير Heba Abo Elkheir @UCxlhhz1-jnzO2Or44HKINaw,3.6M,0.10%,Egypt,,1.1M,Mohamed Hamaki,4320000,2050481805,138
41,Mohamed Hamaki @UCwTGMDozfRy35__tkvlRc_g,3.5M,1%,Egypt,,1.1M,Sada Elbalad - صدى البلد,4780000,1704319963,284578
42,Sada Elbalad - صدى البلد @UCJWuV-EkLmRrGZ4afwUBenw,3.5M,-,Egypt,,1.1M,Arabic Fairy Tales قصص اطفال,4890000,1851583832,806
43,Arabic Fairy Tales for Kids - قصص اطفال @UCBqfiWktGq5Gy-B5fIaUdzw,3.5M,-,Egypt,,1M,Joe Show - جو شو,4550000,976441420,607
